priority;business_name;maps_rating;phone;next_action;detected_pain;opening_line;call_script;why_this_lead_is_sellable;maps_url;website;requires_manual_review
HOT;ELETTRO SISTEM di Bambini Stefano;3.3/5;+39 351 502 1136;manual_review;Attivita senza sito ufficiale: acquisizione richieste debole.;Ciao, ti rubo 20 secondi — ho visto che su Google avete traffico, ma non sembra esserci un sito ufficiale che raccolga richieste in modo strutturato.;Ciao, ti rubo 20 secondi: ho visto ELETTRO SISTEM di Bambini Stefano. Attivita senza sito ufficiale: acquisizione richieste debole. Traffico non evidente da recensioni. Ti va se ti faccio vedere una demo rapida di Zirel?;"categoria semi_core; no booking verificato; whatsapp assente; chatbot assente; reviews:4; size:small";https://maps.google.com/?cid=14669885930832385652;;true
HOT;M.G. Di Muccioli Cesare E Gaia Stefano S.N.C.;1.0/5;+39 0541 611225;manual_review;Attivita senza sito ufficiale: acquisizione richieste debole.;Ciao, ti rubo 20 secondi — ho visto che su Google avete traffico, ma non sembra esserci un sito ufficiale che raccolga richieste in modo strutturato.;Ciao, ti rubo 20 secondi: ho visto M.G. Di Muccioli Cesare E Gaia Stefano S.N.C.. Attivita senza sito ufficiale: acquisizione richieste debole. Traffico non evidente da recensioni. Ti va se ti faccio vedere una demo rapida di Zirel?;"categoria semi_core; no booking verificato; whatsapp assente; chatbot assente; reviews:2; size:small";https://maps.google.com/?cid=14131924433789478167;;true
HOT;Ls Elettroimpianti Srl;5.0/5;+39 0541 610748;manual_review;Attivita senza sito ufficiale: acquisizione richieste debole.;Ciao, ti rubo 20 secondi — ho visto che su Google avete traffico, ma non sembra esserci un sito ufficiale che raccolga richieste in modo strutturato.;Ciao, ti rubo 20 secondi: ho visto Ls Elettroimpianti Srl. Attivita senza sito ufficiale: acquisizione richieste debole. Traffico non evidente da recensioni. Ti va se ti faccio vedere una demo rapida di Zirel?;"categoria semi_core; no booking verificato; whatsapp assente; chatbot assente; reviews:1; size:small";https://maps.google.com/?cid=2550047607546514151;;true
WARM;Bacchini Adriano;4.7/5;+39 0541 614002;call_now_low_priority;Solo numero fisso, senza WhatsApp e senza prenotazione diretta: rischio richieste perse fuori orario.;Buongiorno, sono Niki. Ho visto Bacchini Adriano e volevo proporti un miglioramento pratico per aumentare richieste e conversioni.;Ciao, ti rubo 20 secondi: ho visto Bacchini Adriano. Solo numero fisso, senza WhatsApp e senza prenotazione diretta: rischio richieste perse fuori orario. Traffico non evidente da recensioni. Ti va se ti faccio vedere una demo rapida di Zirel?;"categoria semi_core; no booking verificato; whatsapp assente; chatbot assente; reviews:3; size:small";https://maps.google.com/?cid=9824015272076689601;http://www.bacchiniadriano.it/;false
WARM;Abitare Luce Di Muccini Mario;5.0/5;+39 0541 613350;manual_review;Solo numero fisso, senza WhatsApp e senza prenotazione diretta: rischio richieste perse fuori orario.;Buongiorno, sono Niki. Ho visto Abitare Luce Di Muccini Mario e volevo proporti un miglioramento pratico per aumentare richieste e conversioni.;Ciao, ti rubo 20 secondi: ho visto Abitare Luce Di Muccini Mario. Solo numero fisso, senza WhatsApp e senza prenotazione diretta: rischio richieste perse fuori orario. Traffico non evidente da recensioni. Ti va se ti faccio vedere una demo rapida di Zirel?;"categoria semi_core; no booking verificato; whatsapp assente; chatbot assente; reviews:2; size:small";https://maps.google.com/?cid=14990382444050140797;http://www.abitareluce.it/;true
WARM;A E G ELETTROIMPIANTI DI ARDUINI GIULIO;1.0/5;+39 339 409 5111;manual_review;Mancano WhatsApp e prenotazione diretta: attrito alto nel contatto.;Buongiorno, sono Niki. Ho visto A E G ELETTROIMPIANTI DI ARDUINI GIULIO e volevo proporti un miglioramento pratico per aumentare richieste e conversioni.;Ciao, ti rubo 20 secondi: ho visto A E G ELETTROIMPIANTI DI ARDUINI GIULIO. Mancano WhatsApp e prenotazione diretta: attrito alto nel contatto. Traffico non evidente da recensioni. Ti va se ti faccio vedere una demo rapida di Zirel?;"categoria semi_core; no booking verificato; whatsapp assente; chatbot assente; reviews:1; size:small";https://maps.google.com/?cid=5658823679431641443;http://agelettroimpianti.it/;true
WARM;B.P.L. di Bugli Stefano;5.0/5;+39 0541 615881;manual_review;Sito principale a passaggi multipli: l'utente deve scegliere tra strutture separate prima di arrivare alla richiesta/prenotazione.;Ciao, ti rubo 20 secondi — ho visto che il sito principale porta a piu strutture separate. Volevo capire se vi capita di perdere richieste in quel passaggio.;Ciao, ti rubo 20 secondi: ho visto B.P.L. di Bugli Stefano. Sito principale a passaggi multipli: l'utente deve scegliere tra strutture separate prima di arrivare alla richiesta/prenotazione. Traffico non evidente da recensioni. Ti va se ti faccio vedere una demo rapida di Zirel?;"categoria semi_core; booking subflow; whatsapp presente; chatbot crisp; reviews:3; size:small";https://maps.google.com/?cid=16283792288633197392;https://bplquadrielettrici.it/;false
WARM;Elettromeccanica Muccioli Marco srl - Gruppi di pompaggio;4.3/5;+39 0541 614053;manual_review;Sito principale a passaggi multipli: l'utente deve scegliere tra strutture separate prima di arrivare alla richiesta/prenotazione.;Ciao, ti rubo 20 secondi — ho visto che il sito principale porta a piu strutture separate. Volevo capire se vi capita di perdere richieste in quel passaggio.;Ciao, ti rubo 20 secondi: ho visto Elettromeccanica Muccioli Marco srl - Gruppi di pompaggio. Sito principale a passaggi multipli: l'utente deve scegliere tra strutture separate prima di arrivare alla richiesta/prenotazione. 48 recensioni: attivita attiva. Ti va se ti faccio vedere una demo rapida di Zirel?;"categoria semi_core; booking subflow; whatsapp presente; chatbot assente; reviews:48; size:small";https://maps.google.com/?cid=8614179929722075826;http://www.muccioli.it/;false
WARM;Technolux S.r.l.;5.0/5;+39 0541 085063;manual_review;Prenotazione presente ma poco visibile: possibile frizione nel percorso utente, soprattutto da mobile.;Ciao, ti rubo 20 secondi — ho visto che la prenotazione c'e, ma non e subito evidente. Vi capita che i clienti chiamino o scrivano prima di prenotare?;Ciao, ti rubo 20 secondi: ho visto Technolux S.r.l.. Prenotazione presente ma poco visibile: possibile frizione nel percorso utente, soprattutto da mobile. Traffico non evidente da recensioni. Ti va se ti faccio vedere una demo rapida di Zirel?;"categoria semi_core; booking below_fold; whatsapp presente; chatbot whatsapp_widget; reviews:2; size:small";https://maps.google.com/?cid=13679334126114159538;http://www.technoluximpiantielettrici.it/;false
WARM;De luca impianti;5.0/5;+39 0541 615584;manual_review;Sito principale a passaggi multipli: l'utente deve scegliere tra strutture separate prima di arrivare alla richiesta/prenotazione.;Ciao, ti rubo 20 secondi — ho visto che il sito principale porta a piu strutture separate. Volevo capire se vi capita di perdere richieste in quel passaggio.;Ciao, ti rubo 20 secondi: ho visto De luca impianti. Sito principale a passaggi multipli: l'utente deve scegliere tra strutture separate prima di arrivare alla richiesta/prenotazione. Traffico non evidente da recensioni. Ti va se ti faccio vedere una demo rapida di Zirel?;"categoria semi_core; booking subflow; whatsapp presente; chatbot whatsapp_widget; reviews:1; size:small";https://maps.google.com/?cid=13937534329921986126;https://www.delucaimpianti.it/;false
