leads_riccione_bb_20260501_184603
business_name;source;website;mobile_phone;landline_phone;email;owner;city_match_score;fit_score;refresh_opportunity_score;sales_angle;contact_priority;outreach_template;address;maps_url;reason_flags
Hotel Cristina;maps_site;http://www.hotelcristinariccione.it/;328 3261027;4611110406;info@hotelcristinariccione.it;;55;100;25;site_refresh_opportunity;mobile_first;Ciao Hotel Cristina, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: 328 3261027.;Viale Catalani, 8, 47838 Riccione RN, Italy;https://maps.google.com/?cid=15496896739013076866;refresh:non usa https
Hotel 3 Stelle con piscina a  Riccione;maps_site;https://www.hotelsariccione.it/;+39 327 1482649;+39 0541 642287;info@hotelsariccione.it;;50;100;25;site_refresh_opportunity;mobile_first;Ciao Hotel 3 Stelle con piscina a  Riccione, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 327 1482649.;Viale Edmondo de Amicis, 18, 47838 Riccione RN, Italy;https://maps.google.com/?cid=15188147849071887966;"refresh:possibile layout a tabelle; librerie frontend datate"
Hotel Morena Riccione;maps_site;https://www.hotelmorenariccione.it/;3381317854;4611110406;hotelmorenariccione@gmail.com;;50;100;20;site_refresh_opportunity;mobile_first;Ciao Hotel Morena Riccione, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: 3381317854.;Viale Mario Rapisardi, 7, 47838 Riccione RN, Italy;https://maps.google.com/?cid=360148575510968761;refresh:usa tag html legacy
Hotel Riccione 3 Stelle vacanze Economiche Riccione Hotel Taormina;maps_site;https://www.hoteltaormina.com/;+39 328 3661938;+39 0541 646484;info@hoteltaormina.com;;40;100;5;site_refresh_opportunity;mobile_first;Ciao Hotel Riccione 3 Stelle vacanze Economiche Riccione Hotel Taormina, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 328 3661938.;Viale A. Boito, 31, 47838 Riccione RN, Italy;https://maps.google.com/?cid=14682649899065764533;refresh:meta description assente
B&B Hotel Barbiani;maps_site;https://www.bbhotelbarbiani.it/;+39 3757898075;+39 0541 1890263;bbhotelbarbiani@gmail.com;;30;100;5;site_refresh_opportunity;mobile_first;Ciao B&B Hotel Barbiani, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 3757898075.;Via U. Foscolo, 29, 47838 Riccione RN, Italy;https://maps.google.com/?cid=3773331380375234417;refresh:meta description assente
HOTEL LEVANTE RICCIONE;maps_site;https://hotellevantericcione.com/;+39 351 8488170;+39 0541 646272;info@gdwebgraphics.it;;55;100;0;site_refresh_opportunity;mobile_first;Ciao HOTEL LEVANTE RICCIONE, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 351 8488170.;Viale A. Manzoni, 5, 47838 Riccione RN, Italy;https://maps.google.com/?cid=12705480328704942278;
Family Hotel Antibes;maps_site;https://www.hotelantibes.com/;+39 3484763648;2409740400;info@hotelantibes.com;;55;100;0;site_refresh_opportunity;mobile_first;Ciao Family Hotel Antibes, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 3484763648.;Viale Claudio Monteverdi, 4, 47838 Riccione RN, Italy;https://maps.google.com/?cid=17526909029346178181;
Hotel a Riccione vicino al mare 2 stelle con ristorante;maps_site;https://www.hotelluanariccione.it/;+39 349 5803280;+39 0541 382351;info@hotelluanariccione.it;;50;100;0;site_refresh_opportunity;mobile_first;Ciao Hotel a Riccione vicino al mare 2 stelle con ristorante, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 349 5803280.;Viale Giuseppe Verdi, 25, 47838 Riccione RN, Italy;https://maps.google.com/?cid=9415442075984675941;
Hotel Riccione 4 stelle sul mare con piscina e ristorante;maps_site;https://www.nauticohotel.it/?utm_source=googlemaps&utm_medium=mybusiness&utm_campaign=mybusiness;+39 389 0984014;+39 0541 1480170;info@nauticohotel.it;;50;100;0;site_refresh_opportunity;mobile_first;Ciao Hotel Riccione 4 stelle sul mare con piscina e ristorante, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 389 0984014.;Lungomare della Libertà, 19, 47838 Riccione RN, Italy;https://maps.google.com/?cid=12220838115527427718;
Hotel Cimarosa Riccione;maps_site;https://www.hotelcimarosariccione.com/;+39 388 9949640;+39 0541.645362;info@hotelcimarosariccione.com;;40;100;0;site_refresh_opportunity;mobile_first;Ciao Hotel Cimarosa Riccione, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 388 9949640.;Viale Cimarosa, 17, 47838 Riccione RN, Italy;https://maps.google.com/?cid=13783184624588609791;
Hotel Riccione 4 stelle sul Mare, qualità Superior;maps_site;https://www.hotel-atlantic.com/?utm_source=googlemaps&utm_medium=mybusiness&utm_campaign=mybusiness;+39 339 4663306;+39 0541 148 0169;info@atlanticriccione.com;;40;100;0;site_refresh_opportunity;mobile_first;Ciao Hotel Riccione 4 stelle sul Mare, qualità Superior, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 339 4663306.;Lungomare della Libertà, 15, 47838 Riccione RN, Italy;https://maps.google.com/?cid=5848168768039616600;
Hotel De La Ville;maps_site;https://www.hoteldelavillericcione.com/;;390541602341;booking@hoteldelavillericcione.com;;80;75;0;site_refresh_opportunity;landline_only;Ciao Hotel De La Ville, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +390541602341.;Viale Spalato, 5, 47838 Riccione RN, Italy;https://maps.google.com/?cid=18411082053382795222;
Hotel Cormoran Riccione Hotel 2 Stelle a Riccione vicino via Ceccarini;maps_site;https://www.hotelcormoranriccione.it/;+39 3388576552;4604530404;;;50;75;0;site_refresh_opportunity;mobile_first;Ciao Hotel Cormoran Riccione Hotel 2 Stelle a Riccione vicino via Ceccarini, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 3388576552.;Viale Nino Bixio, 22, 47838 Riccione RN, Italy;https://maps.google.com/?cid=1667806088351875959;
Hotel Mignon Riccione;maps_site;https://www.hotelmignonriccione.it/;+39 380 133 3480;;;;50;75;0;site_refresh_opportunity;mobile_first;Ciao Hotel Mignon Riccione, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 380 133 3480.;Viale Gabriele D'Annunzio, 143, 47838 Riccione RN, Italy;https://maps.google.com/?cid=2744815462815943363;
Hotel Edelweiss;maps_site;https://www.hoteledelweissriccione.it/;+39 351 554 4517;;;;50;75;0;site_refresh_opportunity;mobile_first;Ciao Hotel Edelweiss, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 351 554 4517.;TESLA DESTINATION CHARGER, Viale A. Boito, 26, 47838 Riccione RN, Italy;https://maps.google.com/?cid=16083416329102019908;
