source,business_name,website,mobile_phone,landline_phone,email,owner,city_match_score,fit_score,refresh_opportunity_score,sales_angle,contact_priority,outreach_template,address,maps_url,reason_flags
maps_site,Hotel Polo,https://www.hotelpolo.it/,+39 327 1577047,+39 0541 5118,info@hotelpolo.it,,95,100,15,site_refresh_opportunity,mobile_first,"Ciao Hotel Polo, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 327 1577047.","Viale Amerigo Vespucci, 23, 47921 Rimini RN, Italy",https://maps.google.com/?cid=16260518911995402952,refresh:librerie frontend datate
maps_site,Hotel 4 Stelle Rimini in centro e vicino alla stazione di Rimini - Hotel Card International,https://www.hotelcard.it/,+39 328 6885763,+39 0541 2641,commerciale@hotelcard.it,,50,100,5,site_refresh_opportunity,mobile_first,"Ciao Hotel 4 Stelle Rimini in centro e vicino alla stazione di Rimini - Hotel Card International, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 328 6885763.","Via Dante Alighieri, 50, 47921 Rimini RN, Italy",https://maps.google.com/?cid=14095591955707803857,refresh:meta description assente
maps_site,B & B Mignon a Rimini,https://bnbmignon.it/,335.6740126,,g.sancisi@libero.it,,50,100,5,site_refresh_opportunity,mobile_first,"Ciao B & B Mignon a Rimini, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: 335.6740126.",,,refresh:meta description assente
maps_site,Hotel Calypso Rimini | Sito Web Hotel Calypso Rimini,https://www.hotelcalypso.com/,345 2304080,+39 0541 2273,info@hotelcalypso.com,,45,100,5,site_refresh_opportunity,mobile_first,"Ciao Hotel Calypso Rimini | Sito Web Hotel Calypso Rimini, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: 345 2304080.","Viale Trieste, 15, 47921 Rimini RN, Italy",https://maps.google.com/?cid=17113557001756432617,refresh:meta description assente
maps_site,Hotel T Depandance,https://hotelbernarimini.com/,+39 3517540951,+39 0541372675,hoteltdepandance@gmail.com,,40,100,5,site_refresh_opportunity,mobile_first,"Ciao Hotel T Depandance, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 3517540951.","Viale Siracusa, 8, 47924 Rimini RN, Italy",https://maps.google.com/?cid=11682216969427164081,refresh:meta description assente
maps_site,Hotel Ausonia,https://www.hotelinrimini.it/,+39 327 6125038,04467260404,ausonia@hotelinrimini.it,,100,100,0,site_refresh_opportunity,mobile_first,"Ciao Hotel Ausonia, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 327 6125038.","Viale Misurata, 51, 47921 Rimini RN, Italy",https://maps.google.com/?cid=1052038833047134801,
maps_site,Hotel Santanna,https://www.roccovacanzehotelrimini.it/,39) 380.1245824,02035480769,santannahotelrimini@gmail.com,,95,100,0,site_refresh_opportunity,mobile_first,"Ciao Hotel Santanna, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: 39) 380.1245824.","Viale Regina Elena, 243, 47924 Rimini RN, Italy",https://maps.google.com/?cid=9458234245398208557,
maps_site,Hotel Maria Serena,https://www.hotelmariaserena.com/,+39 353.4560452,+39054126763,info@hotelmariaserena.com,,80,100,0,site_refresh_opportunity,mobile_first,"Ciao Hotel Maria Serena, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 353.4560452.","Viale Ortigara, 31, 47921 Rimini RN, Italy",https://maps.google.com/?cid=614985857024289010,
maps_site,Hotel B&B Ardea Rimini,https://www.hotelardearimini.it/,+39 327 1539658,01896560701,info@hotelardearimini.it,,50,100,0,site_refresh_opportunity,mobile_first,"Ciao Hotel B&B Ardea Rimini, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 327 1539658.","Viale Brescia, 6, 47924 Rimini RN, Italy",https://maps.google.com/?cid=11515038463232188423,
maps_site,Hotel a Rimini a pochi passi dal mare,https://hotelmararimini.it/,+39 3343393203,+39 0541 382408,info@hotelmararimini.it,,50,100,0,site_refresh_opportunity,mobile_first,"Ciao Hotel a Rimini a pochi passi dal mare, possiamo aiutarti ad aggiornare il sito e migliorare acquisizione clienti con UX piu moderna, performance migliori e integrazione Zirel (www.zirel.org). Contatto di riferimento: +39 3343393203.","Via Achille Torelli, 1, 47924 Rimini RN, Italy",https://maps.google.com/?cid=11590743000688142776,
